

MI_SI_WLAN_AP_ID,MI_SI_WLAN_AP_Name,MI_SI_Building_Number,MI_SI_WLAN_AP_Hname,MI_SI_WLAN_AP_IP,MI_SI_WLAN_APGroup_Name,MI_SI_WLAN_AP_MAC,MI_SI_WLAN_AP_SN,MI_SI_WLAN_AP_Model,MI_SI_WLAN_AP_Scale,MI_SI_Cabinet_Name,MI_SI_Switch_Name,MI_SI_Switch_IP,MI_SI_SWPort_Interface,MI_SI_Cabling_Number,MI_SI_WLAN_AP_Location,MI_SI_WLAN_AP_Memo02,MI_SI_WLAN_AP_Status,MI_SI_WLAN_WLC_HName,MI_SI_WLAN_AP_IfEnabled,MI_SI_WLAN_AP_Date_Install,MI_SI_WLAN_AP_Memo,MI_SI_WLAN_AP_Height,MI_SI_WLAN_AP_Floor,MI_SI_WLAN_AP_Maintenance
195,692-AP15,B692,SY2692-3TC-FACC1242-C,10.70.30.51,FYT_TBL2_ASCE,b0:fa:eb:b0:c5:36,FGL1711U057,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,692-TC-01,SY2692-1TCBC26PS48,10.70.28.181,Fa0/36,1H2f,ok,WLANSY2RFYT01WLANSY2RCBR01WLANSY2ASCE01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
196,692-AP16,B692,SY2692-3TC-FACC1242-D,10.70.30.52,FYT_TBL2_ASCE,b0:fa:eb:b0:c5:f8,FGL1711U05Q,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,692-TC-01,SY2692-1TCBC26PS48,10.70.28.181,Fa0/37,1C2g,ok,WLANSY2RFYT01WLANSY2RCBR01WLANSY2ASCE01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
197,450-AP01,B450,SY2450-1TC-FACC1242-A,10.70.30.95,EPC_RMZA-B,b0:fa:eb:b0:c0:c8,FGL1711U06H,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,450-TC-01,SY2450-1TC01AC26PS24,10.70.28.111,Fa0/2,1B8a,ok,WLANSY2RRMZ01WLANSY2RCBR02WLANSY2ASCE01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
198,450-AP02,B450,SY2450-1TC-FACC1242-B,10.70.30.96,EPC_RMZA-B,b0:fa:eb:b0:c4:f6,FGL1711U05N,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,450-TC-01,SY2450-1IC01AC26PS24,10.70.28.112,Fa0/2,1C5e,ok,WLANSY2RRMZ01WLANSY2RCBR02WLANSY2ASCE01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
199,450-AP03,B450,SY2450-1TC-FACC1242-C,10.70.30.97,EPC_RMZA-B,b0:fa:eb:b0:c4:84,FGL1711U05S,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,450-TC-01,SY2450-1IC01AC26PS24,10.70.28.112,Fa0/1,1C1a,ok,WLANSY2RRMZ01WLANSY2RCBR02WLANSY2ASCE01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
200,450-AP04,B450,SY2450-1TC-FACC1242-D,10.70.30.98,EPC_RMZA-B,b0:fa:eb:b0:c3:70,FGL1711U05T,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,450-TC-01,SY2450-1TC01AC26PS24,10.70.28.111,Fa0/4,2B8a,ok,WLANSY2RRMZ01WLANSY2RCBR02WLANSY2ASCE01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
201,450-AP05,B450,SY2450-1TC-FACC1242-E,10.70.30.99,EPC_RMZA-B,b0:fa:eb:b0:c3:ca,FGL1711U062,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,450-TC-01,SY2450-1TC01AC26PS24,10.70.28.111,Fa0/3,1B6c,ok,WLANSY2RRMZ01WLANSY2RCBR02WLANSY2ASCE01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
202,450-AP06,B450,SY2450-1TC-FACC1242-F,10.70.30.100,EPC_RMZA-B,b0:fa:eb:b0:ab:ba,FGL1711U06G,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,450-TC-01,SY2450-1IC01AC26PS24,10.70.28.112,Fa0/3,2C2a,ok,WLANSY2RRMZ01WLANSY2RCBR02WLANSY2ASCE01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
203,450-AP07,B450,SY2450-1TC-FACC1242-G,10.70.30.101,EPC_RMZA-B,b0:fa:eb:b0:c3:80,FGL1711U04E,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,450-IC-01-S1,SY2450-1IC01BC26PS48,10.70.28.113,Fa0/7,2D3a,ok,WLANSY2RRMZ01WLANSY2RCBR02WLANSY2ASCE01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
204,450-AP08,B450,SY2450-1TC-FACC1242-H,10.70.30.102,EPC_RMZA-B,d4:8c:b5:4b:37:aa,FGL1629U01C,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,450-TC-01,SY2450-1IC01AC26PS24,10.70.28.112,Fa0/4,2C5a,ok,WLANSY2RRMZ01WLANSY2RCBR02WLANSY2ASCE01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
205,450-AP09,B450,SY2450-1TC-FACC1242-I,10.70.30.103,EPC_RMZA-B,00:19:30:76:b3:52,SFHK11044086,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,450-TC-01,SY2450-1TC01AC26PS24,10.70.28.111,Fa0/1,1F10a,ok,WLANSY2RRMZ01WLANSY2RCBR02 WLANSY2ASCE01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
206,450-AP10,B450,SY2450-1TC-FACC1242-J,10.70.30.104,EPC_RMZA-B,60:73:5c:6a:bc:f6,FGL1636U02V,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,450-TC-01,SY2450-1IC01AC26PS24,10.70.28.112,Fa0/5,4C2c,ok,WLANSY2RRMZ01WLANSY2RCBR02WLANSY2ASCE01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
207,450-AP11,B450,SY2450-1TC-FACC1242-K,10.70.30.53,EPC_RMZA-B,b0:fa:eb:b0:c5:a8,FGL1711U05R,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,450-TC-01,SY2450-1TC01AC26PS24,10.70.28.111,Fa0/21,1B8b,ok,WLANSY2RFYT01WLANSY2RCBR01WLANSY2ASCE01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
208,450-AP12,B450,SY2450-1TC-FACC1242-L,10.70.30.54,EPC_RMZA-B,b0:fa:eb:b0:c3:7c,FGL1711U05U,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,450-TC-01,SY2450-1TC01AC26PS24,10.70.28.111,Fa0/22,2D7a,ok,WLANSY2RFYT01WLANSY2RCBR01WLANSY2ASCE01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
209,471-AP02,B471,SY2471-2TC-FACC1242-A,10.70.30.105,BSM_EPC,d4:8c:b5:e6:b0:f8,FGL1636U02P,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,471-TC-01,SY2470-1TC02BC26PS24,10.70.28.97,Fa0/13,1H25a,ok,WLANSY2RBSM01WLANSY2RCBR02 WLANSY2ASCE01 ,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,,,
210,471-AP03,B471,SY2471-2TC-FACC1242-B,10.70.30.106,BSM_EPC,d8:67:d9:8e:78:e0,FGL1636U02G,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,471-TC-01,SY2470-1TC02BC26PS24,10.70.28.97,Fa0/14,1H26a,ok,WLANSY2RBSM01WLANSY2RCBR02WLANSY2ASCE01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,,,
211,660-AP01,B660,SY2660-1TC-FACC1242-A,10.70.30.65,FYT_TBL2_ASCE,b0:fa:eb:b0:c4:0e,FGL1711U04X,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,660-TC-01,SY2660-1TCAC26PS24,10.70.28.91,Fa0/15,1L4e,ok,WLANSY2RFYT01WLANSY2RCBR01WLANSY2ASCE01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,7,1,
212,660-AP02,B660,SY2660-1TC-FACC1242-B,10.70.30.66,FYT_TBL2_ASCE,b0:fa:eb:b0:c6:76,FGL1711U04K,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,660-TC-01,SY2660-1TCAC26PS24,10.70.28.91,Fa0/16,1L10d,ok,WLANSY2RFYT01WLANSY2RCBR01WLANSY2ASCE01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,7,1,
213,660-AP03,B660,SY2660-1TC-FACC1242-C,10.70.30.67,FYT_TBL2_ASCE,b0:fa:eb:b0:c3:e6,FGL1711U055,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,660-TC-01,SY2660-1TCAC26PS24,10.70.28.91,Fa0/17,1L20a,ok,WLANSY2RFYT01WLANSY2RCBR01WLANSY2ASCE01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,7,1,
214,660-AP04,B660,SY2660-1TC-FACC1242-D,10.70.30.68,FYT_TBL2_ASCE,b0:fa:eb:b0:c5:10,FGL1711U059,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,660-TC-01,SY2660-1TCAC26PS24,10.70.28.91,Fa0/18,1K10b,ok,WLANSY2RFYT01WLANSY2RCBR01WLANSY2ASCE01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,7,1,
215,660-AP05,B660,SY2660-2TC-FACC1242-A,10.70.30.69,FYT_TBL2_ASCE,b0:fa:eb:b0:c5:56,FGL1711U05J,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,660-TC-02,SY2660-1TC02AC26PS24,10.70.28.93,Fa0/20,1K20a,ok,WLANSY2RFYT01WLANSY2RCBR01WLANSY2ASCE01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,7,1,
216,660-AP06,B660,SY2660-2TC-FACC1242-B,10.70.30.72,TBL2_ASCE,b0:fa:eb:b0:c6:ea,FGL1711U04V,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,660-TC-02,SY2660-1TC02AC26PS24,10.70.28.93,Fa0/21,1J4e,ok,WLANSY2RCBR01WLANSY2ASCE01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,7,1,
217,660-AP07,B660,SY2660-2TC-FACC1242-C,10.70.30.73,TBL2_ASCE,b0:fa:eb:b0:c3:ba,FGL1711U04Y,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,660-TC-02,SY2660-1TC02AC26PS24,10.70.28.93,Fa0/22,1J10b,ok,WLANSY2RCBR01WLANSY2ASCE01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,7,1,
218,660-AP08,B660,SY2660-2TC-FACC1242-D,10.70.30.74,TBL2_ASCE,b0:fa:eb:b0:c3:e2,FGL1711U04Z,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,660-TC-02,SY2660-1TC02AC26PS24,10.70.28.93,Fa0/23,1J20a,ok,WLANSY2RCBR01WLANSY2ASCE01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,7,1,
219,660-AP09,B660,SY2660-3TC-FACC1242-A,10.70.30.85,ASCE,b0:fa:eb:b0:bf:34,FGL1711U06J,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,660-TC-03,SY2660-1TC03AC26PS24,10.70.28.94,Fa0/19,1H10a,ok,WLANSY2ASCE01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,7,1,
220,660-AP10,B660,SY2660-3TC-FACC1242-B,10.70.30.86,ASCE,b0:fa:eb:b0:c4:2c,FGL1711U058,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,660-TC-03,SY2660-1TC03AC26PS24,10.70.28.94,Fa0/20,1H20a,ok,WLANSY2ASCE01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,7,1,
221,660-AP11,B660,SY2660-3TC-FACC1242-C,10.70.30.87,ASCE,b0:fa:eb:b0:c5:3e,FGL1711U05C,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,660-TC-03,SY2660-1TC03AC26PS24,10.70.28.94,Fa0/21,1E4a,ok,WLANSY2ASCE01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,7,1,
222,660-AP12,B660,SY2660-3TC-FACC1242-D,10.70.30.88,ASCE,b0:fa:eb:b0:c5:70,FGL1711U05D,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,660-TC-03,SY2660-1TC03AC26PS24,10.70.28.94,Fa0/22,1E13a,ok,WLANSY2ASCE01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,7,1,
223,660-AP13,B660,SY2660-4TC-FACC1242-A,10.70.30.56,FYT_TBL2_ASCE,b0:fa:eb:b0:be:94,FGL1711U067,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,660-TC-04,SY2660-1TC04AC26PS48,10.70.28.92,Fa0/31,1C4e,ok,WLANSY2RFYT01WLANSY2RCBR01WLANSY2ASCE01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,7,1,
224,660-AP14,B660,SY2660-4TC-FACC1242-B,10.70.30.57,FYT_TBL2_ASCE,b0:fa:eb:b0:bd:dc,FGL1711U068,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,660-TC-04,SY2660-1TC04AC26PS48,10.70.28.92,Fa0/32,1C9f,ok,WLANSY2RFYT01WLANSY2RCBR01WLANSY2ASCE01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,7,1,
225,660-AP15,B660,SY2660-4TC-FACC1242-C,10.70.30.58,FYT_TBL2_ASCE,b0:fa:eb:b0:c4:c6,FGL1711U06A,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,660-TC-04,SY2660-1TC04AC26PS48,10.70.28.92,Fa0/33,1C20a,ok,WLANSY2RFYT01WLANSY2RCBR01WLANSY2ASCE01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,7,1,
226,406-AP01,B406,SY2406-2TC-FACC1242-A,10.70.30.63,EPC_RMZA-B,b0:fa:eb:b0:c5:8e,FGL1711U04S,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,150-TC-02,SY2150-1TC02AC26PS24,10.70.28.83,Fa0/17,1B53a,ok,WLANSY2RFYT01WLANSY2RCBR01WLANSY2ASCE01,Mounted,SY2100-1MCCBCT5508,1,2013/7/1 0:00,2013;MS2b,,,
227,457-AP01,B457,SY2457-1TC-FACC1242-A,10.70.30.107,EPC_RMZA-B,d4:8c:b5:4b:68:00,FGL1630U0AU,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,457-TC-01,SY2457-1TCAC26PS24,10.70.28.204,Fa0/1,1D4a,ok,WLANSY2RRMZ01WLANSY2RCBR02WLANSY2ASCE01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
228,457-AP02,B457,SY2457-1TC-FACC1242-B,10.70.30.108,EPC_RMZA-B,70:81:05:f1:56:6e,FGL1538U0AB,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,457-TC-01,SY2457-1TCAC26PS24,10.70.28.204,Fa0/2,1D14a,ok,WLANSY2RRMZ01WLANSY2RCBR02WLANSY2ASCE01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
229,457-AP03,B457,SY2457-1TC-FACC1242-C,10.70.30.109,EPC_RMZA-B,64:00:f1:56:88:9c,FGL1514U0C8,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,416-TC-02,SY2416-2TCAC26PS24,10.70.28.201,Fa0/1,2D20a,ok,WLANSY2RRMZ01WLANSY2RCBR02WLANSY2ASCE01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
230,457-AP04,B457,SY2457-1TC-FACC1242-D,10.70.30.110,EPC_RMZA-B,50:57:a8:ea:3e:de,FGL1617U0JZ,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,416-TC-02,SY2416-2TCAC26PS24,10.70.28.201,Fa0/2,3D19a,ok, ,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
231,457-AP05,B457,SY2457-1TC-FACC1242-E,10.70.30.111,EPC_RMZA-B,60:73:5c:6a:c0:36,FGL1636U01N,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,416-TC-02,SY2416-2TCAC26PS24,10.70.28.201,Fa0/18,1B17a,ok,WLANSY2RRMZ01WLANSY2RCBR02WLANSY2ASCE01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
232,457-AP06,B457,SY2457-1TC-FACC1242-F,10.70.30.112,EPC_RMZA-B,60:73:5c:6a:cb:12,FGL1636U035,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,416-TC-02,SY2416-2TCAC26PS24,10.70.28.201,Fa0/19,1B11a,ok,WLANSY2RRMZ01WLANSY2RCBR02WLANSY2ASCE01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
233,457-AP07,B457,SY2457-1TC-FACC1242-G,10.70.30.113,EPC_RMZA-B,fc:99:47:63:40:f6,FGL1639U0A2,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,416-TC-02,SY2416-2TCAC26PS24,10.70.28.201,Fa0/17,1C17a,ok,WLANSY2RRMZ01WLANSY2RCBR02WLANSY2ASCE01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
234,402-AP01,B402,SY2402-1TC-FACC1242-A,10.70.30.114,EPC_RMZA-B,00:1d:a1:ce:4b:88,FOC11422BGG,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,402-TC-01,SY2402-1TC01AC26PS48,,Fa0/, 1Y33x,ok,WLANSY2RRMZ01WLANSY2RCBR02WLANSY2ASCE01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
235,520-AP21,B520,SY2520-1TC-FACC1242-U,10.70.16.254,FYT_RMZA-B,18:e7:28:bd:68:ff,FGL1810S0BL,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,520-TC-03,SY2520-1TC03AC26PS24,10.70.28.110,Fa0/24,1A1a,Passway 520/445,WLANSY2RFYT01WLANSY2RRMZ01,Mounted,SY2100-1MCCBCT5508,1,2014/3/1 0:00,2014;MS2b,7,1,
236,411-AP07 ,B411,SY2411-1TC-FACC2602-G,10.70.30.117,EPC_RMZA-B,74:26:ac:1a:c1:cd,FGL1810S0B3,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,411-TC-01,SY2411-1TCAC26PS48 ,10.70.28.31,Fa0/31,1H1a ,ok,WLANSY2RCBR01WLANSY2RRMZ01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
237,133-AP1,B133,SY2133-1TCFACC1242-A,10.70.30.118,EPC_RMZA-B,c8:4c:75:0b:e1:80,FCW1422U0E0,AIR-LAP1242AG-C-K9,,133-TC-01,SY2133-1TC01AC26PS24,10.70.28.118,Fa0/9,,003a98924951,WLANSY2ASCE01 / WLANSY2RBSM01,Mounted,SY2100-1MCCBCT5508,1,2016/3/1 0:00,2016;MS2b,,,
238,446-AP04,B446,SY2442-1TC-FACC1242-C,10.70.30.120,EPC_RMZA-C,54:75:d0:11:5d:22,FCW1422U0F7,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,442-TC-02,SY2442-1TC02AC26PS24,10.70.28.215,Fa0/5,1T52a,"ok,location 442-AP3",WLANSY2RCBR02WLANSY2RRMZ01WLANSY2ASCE01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,,,
239,150-BMA1,B150,SY2150-1TC-FACC2602-A,10.70.30.141,EPC_RMZA-B,f4:cf:e2:be:1a:7f,SFGL1903X760,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,150-TC-01,SY2150-1TC01BC26PS48,10.70.28.82,Fa0/45,1B50u,B150-Lab,WLANSY2ASCE01 WLANSY2RRMZ01 WLANSY2RCBR02,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,3,1,Office
240,150-BMA2,B150,SY2150-1TC-FACC2602-B,10.70.30.142,EPC_RMZA-B,f4:cf:e2:be:1c:ec,SFGL1903X76M,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,150-TC-01,SY2150-1TC01AC26PS24,10.70.28.81,Fa0/24,1B51d,B150-Lab,WLANSY2ASCE01 WLANSY2RRMZ01 WLANSY2RCBR02,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,3,1,Office
241,150-BMA3,B150,SY2150-1TC-FACC2602-C,10.70.30.143,EPC_RMZA-B,f4:cf:e2:be:1a:85,SFGL1903X76L,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,150-TC-01,SY2150-1TC01BC26PS48,10.70.28.82,Fa0/47,2B48e,B406-F2,WLANSY2ASCE01 WLANSY2RRMZ01 WLANSY2RCBR02,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,3,1,Office
242,150-BMA4,B150,SY2150-1TC-FACC2602-D,10.70.30.144,EPC_RMZA-B,f4:cf:e2:be:17:74,SFGL1903X76S,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,150-TC-01,SY2150-1TC01BC26PS48,10.70.28.82,Fa0/48,2B53a,B406-F2,WLANSY2ASCE01 WLANSY2RRMZ01 WLANSY2RCBR02,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,3,1,Office
243,150-BMA5,B150,SY2150-2TC-FACC2602-A,10.70.30.145,EPC_RMZA-B,f4:cf:e2:be:1b:7f,SFGL1903X75F,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,150-TC-02,SY2150-1TC02AC26PS24,10.70.28.83,Fa0/1,1B52a,ok,WLANSY2ASCE01 WLANSY2RRMZ01 WLANSY2RCBR02,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,3,1,
244,100-BMA1,B100,SY2100-1TC-FACC2602-A,10.70.30.146,ASCE,f4:cf:e2:be:19:00,SFGL1903X76H,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,100-TC-01,SY2100-1TC01BC26PS48,10.70.28.108,Fa0/45,1E2a,ok,WLANSY2ASCE01  ,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,,,
245,100-BMA2,B100,SY2100-1TC-FACC2602-B,10.70.30.147,ASCE,f4:cf:e2:be:1b:93,SFGL1903X77Y,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,100-TC-01,SY2100-1TC01BC26PS48,10.70.28.108,Fa0/46,1E5a,ok,WLANSY2ASCE01  ,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,,,
246,100-BMA3,B100,SY2100-1TC-FACC2602-C,10.70.30.148,ASCE,f4:cf:e2:be:17:70,SFGL1903X77V,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,100-TC-01,SY2100-1TC01BC26PS48,10.70.28.108,Fa0/47,1C3b,ok,WLANSY2ASCE01  ,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,,,
247,100-BMA4,B100,SY2100-1TC-FACC2602-D,10.70.30.149,ASCE,f4:cf:e2:be:17:68,SFGL1903X77X,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,100-TC-01,SY2100-1TC01BC26PS48,10.70.28.108,Fa0/48,1C5a,ok,WLANSY2ASCE01  ,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,,,
248,660-BMA1,B660,SY2660-4TC-FACC2602-A,10.70.30.150,EPC_RMZA-B,64:f6:9d:de:94:dc,SFGL1907X1U9,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,660-TC-04,SY2660-1TC04AC26PS48,10.70.28.92,Fa0/35,1G15f,ok,WLANSY2ASCE01 WLANSY2RFYT01 WLANSY2RCBR01,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,7,1,
249,660-BMA2,B660,SY2660-4TC-FACC2602-B,10.70.30.151,EPC_RMZA-B,f4:cf:e2:be:17:73,SFGL1903X76N,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,660-TC-04,SY2660-1TC04AC26PS48,10.70.28.92,Fa0/36,1G12a,ok,WLANSY2ASCE01 WLANSY2RFYT01 WLANSY2RCBR01,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,7,1,
250,660-BMA3,B660,SY2660-4TC-FACC2602-C,10.70.30.152,EPC_RMZA-B,74:a0:2f:40:78:da,SFGL1903X77M,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,660-TC-04,SY2660-1TC04AC26PS48,10.70.28.92,Fa0/37,1G18f,ok,WLANSY2ASCE01 WLANSY2RFYT01 WLANSY2RCBR01,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,7,1,
251,660-BMA4,B660,SY2660-4TC-FACC2602-D,10.70.30.153,EPC_RMZA-B,74:a0:2f:40:78:6a,SFGL1903X74U,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,660-TC-04,SY2660-1TC04AC26PS48,10.70.28.92,Fa0/38,1G19c,ok,WLANSY2ASCE01 WLANSY2RFYT01 WLANSY2RCBR01,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,7,1,
252,660-BMA5,B660,SY2660-1TC-FACC2602-A,10.70.30.154,EPC_RMZA-B,f4:cf:e2:be:1a:73,SFGL1903X76J,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,660-TC-01,SY2660-1TCAC26PS24,10.70.28.91,Fa0/19,1L4a,ok,WLANSY2ASCE01 WLANSY2RFYT01 WLANSY2RCBR01,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,7,1,
253,660-BMA6,B660,SY2660-1TC-FACC2602-B,10.70.30.155,EPC_RMZA-B,74:a0:2f:40:77:e6,SFGL1903X74X,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,660-TC-01,SY2660-1TCAC26PS24,10.70.28.91,Fa0/20,1L5a,ok,WLANSY2ASCE01 WLANSY2RFYT01 WLANSY2RCBR01,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,7,1,
254,660-BMA7,B660,SY2660-4TC-FACC2602-E,10.70.30.156,EPC_RMZA-B,74:a0:2f:40:75:9c,SFGL1903X76C,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,660-TC-04,SY2660-1TC04AC26PS48,10.70.28.92,Fa0/39,1G12a,ok,WLANSY2ASCE01 WLANSY2RFYT01 WLANSY2RCBR01,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,7,1,
255,640-BMA1,B640,SY2640-5TC-FACC2602-A,10.70.30.157,EPC_RMZA-B,d4:6d:50:f3:9e:78,SFGL1903X763,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,640-TC-05,SY2640-5TCAC26PS48,10.70.28.195,Fa0/48,-1C13c,地下室01,WLANSY2ASCE01 WLANSY2RFYT01 WLANSY2RCBR01,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,3,-1,Basement
256,640-BMA2,B640,SY2640-4TC-FACC2602-A,10.70.30.158,EPC_RMZA-B,74:a0:2f:40:78:22,SFGL1903X75U,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,640-TC-04,SY2640-4TCAC26PS24,10.70.28.194,Fa0/12,-1D13c,地下室02,WLANSY2ASCE01 WLANSY2RFYT01 WLANSY2RCBR01,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,3,-1,Basement
